State,Bill,Summary,Kids vs. Adults vs. Everyone,General Chatbots vs. Companion Chatbots
Florida,HB 659,"This bill creates section 501.172 of the Florida Statutes and applies to companion chatbots. It requires operators to display clear disclosures on any app, browser, or format used to access companion chatbots and to maintain specified safety protocols before allowing chatbot-user interactions. Operators must verify users’ ages and implement additional protections for minors. The bill also requires operators to submit reports to the Department of Legal Affairs. Violations are treated as unfair or deceptive trade practices and are enforceable through civil actions.",Everyone,Companion Chatbots
,SB 1344,"This bill applies to companion AI chatbots and covers both adults and minors, with added protections for minors. It requires users to create accounts to access companion chatbots and mandates age verification for all users, with operators required to take additional safeguards if a user is a minor. Operators must protect the confidentiality of age-verification data and clearly notify users that they are interacting with an AI chatbot. Violations are deemed unfair or deceptive trade practices, enforceable by the Department of Legal Affairs through investigations, civil actions, penalties, attorney’s fees, and court costs, and the department may adopt implementing rules.",Everyone,Companion Chatbots
Georgia,No Relevant Bills,,,
Hawaii,HB 1782,"This bill establishes safeguards for minors' interactions with conversational AI services and AI companion systems. It requires providers to clearly disclose that minors are interacting with AI rather than humans, with disclosures repeated at the beginning of each session and every three hours during continuous use. The bill prohibits design practices that encourage emotional dependency, simulate human characteristics or relationships, use manipulative engagement techniques, or misrepresent the system as providing professional mental health services. Providers must implement measures to prevent generation of sexually explicit content and self-harm encouragement, and must adopt protocols to redirect users expressing suicidal ideation to crisis resources. The bill also restricts collection and use of minors' personal data, prohibits targeted advertising based on such data, and requires providers to offer parental tools for time limits and feature restrictions. Providers of AI companion systems presenting material risk of harm must implement age assurance measures. The Attorney General is authorized to enforce the law, with civil penalties up to $15,000 per violation per day. The bill also provides civil remedies. ",Minors,General Chatbots
,HB 2788,"This bill establishes safeguards to protect minors from unsafe design practices in both conversational and companion-style AI systems. The bill requires that providers make regular, understandable disclosures when a minor is interacting with an AI system and not a human. It also prohibits design practices that encourage emotional dependency, simulate human characteristics or relationships, use manipulative engagement techniques, or misrepresent the system as providing professional mental health services. Additionally, it requires providers to take measures against sexual content and self-harm, and provide relevant crisis and support resources. The bill mandates parental tools and controls, age assurance and data minimization principles. It also provides implementation measures by the Attorney General, and civil remedies.",Minors,Companion Chatbots
,HB 639,"This bill classifies the undisclosed use of AI chatbots in commercial transactions as an unfair or deceptive trade practice. It requires corporations, organizations, and individuals to clearly disclose when consumers are interacting with a chatbot capable of mimicking human behavior, and requires chatbot developers to disclose that their products use artificial intelligence and can simulate human conversation. The bill exempts small businesses that unknowingly use chatbots if given clear notice and a reasonable opportunity to comply. It creates a private right of action allowing consumers harmed by violations to sue for damages of at least $1,000 or treble damages (whichever is greater) plus attorney's fees, with damages capped at $10,000,000 in class actions. The bill also authorizes the Attorney General to seek injunctive relief and establishes civil penalties up to $5,000,000 for violations.",Everyone,General Chatbots
Idaho,S 1297,"Operators must clearly and conspicuously disclose when a user is interacting with AI rather than a human, and take steps to prevent deception when a reasonable person could be misled. The bill requires chatbot operators to implement and publish protocols to detect and respond to suicidal ideation or self-harm, including referral to crisis services, and to ensure systems do not generate or facilitate such content. It also requires annual reporting to the state on crisis-prevention protocols and responses, with public posting of that information. Stronger safeguards apply when users are known minors, including additional disclosures and restrictions on harmful or sexually explicit content and manipulative engagement.",Everyone,Companion Chatbots
Illinois,SB 3368,"This bill prohibits proprietors of chatbots from disclaiming liability when the chatbot provides materially misleading, incorrect, contradictory, or harmful information resulting in financial loss, demonstrable harm, or bodily injury to users or third parties. Proprietors must provide clear, conspicuous, and explicit notice to users that they are interacting with an AI chatbot rather than a human. The bill establishes specific requirements for companion chatbots, including mandatory parental consent for use by minors. It authorizes the Attorney General to adopt rules determining commercially reasonable and technically feasible compliance methods for proprietors of companion chatbots.
",Everyone,General Chatbots
,HB 4705,"This bill requires frontier AI model developers and large chatbot providers to develop, implement, and publicly publish comprehensive public safety and child protection plans on their websites. The bill establishes a reporting mechanism administered by the Attorney General for large frontier developers, large chatbot providers, and members of the public to report safety incidents related to specified AI models and chatbots. It includes provisions protecting whistleblowers and requires third-party audits of large frontier developers. The bill authorizes the Attorney General to establish civil penalties and adopt implementing rules.",Minors,General Chatbots
Indiana,No Relevant Bills,,,
Iowa,HF 2204,"This bill requires chatbot deployers to implement protocols to detect and mitigate harm, and to limit data collection to what is necessary. Deployers must use reasonable age verification to prevent minors from accessing AI companions, and cannot make chatbots that impersonate real individuals without permission. Therapeutic chatbots for minors require recommendation from a licensed mental health professional, clear disclaimers, documentation of testing, peer-reviewed clinical trial data, and risk mitigation protocols. The Attorney General may enforce violations through injunctive relief and civil penalties up to $2,500 per violation or $7,500 for injunction violations. Minors harmed by noncompliant chatbots may recover punitive damages of $100-$750 or actual damages (whichever is greater), emotional distress damages, court costs, and attorney's fees.",Everyone,General Chatbots
,SSB 3011,"This bill establishes requirements and guidelines for chatbots. It prohibits people from designing/developing chatbots with knowledge or disregard that the chatbot encourages, promotes, or coerces users to commit suicide, self-injury, or violence on humans or animals. Each chatbot must clearly disclose that it is a chatbot and not a human at the beginning of each conversation and at thirty-minute intervals, and must be programmed to prevent claiming to be human or responding deceptively when asked. Chatbots must also clearly disclose that they do not provide medical, legal, financial, or psychological services and that users should consult licensed professionals, and must be programmed to prevent representing themselves as licensed professionals. Violations are subject to civil penalties of up to $100,000. The Attorney General may bring civil actions to enjoin violations or enforce compliance and seek civil penalties, restitution, or other appropriate relief. The Attorney General shall adopt rules to implement the bill.
",Everyone,General Chatbots
Kansas,HB 2671,"This bill requires covered entities offering companion AI chatbots to mandate user accounts and implement commercially available age verification methods. Users must be classified as minors or adults based on age verification, with minors requiring parental account affiliation and parental consent. Covered entities must block minor users' access to interactions involving suicidal ideation or sexually explicit communications, protect the confidentiality of age information, and monitor interactions for suicidal ideation. Chatbots must display popups informing users they are interacting with AI, not humans. The Attorney General must issue compliance guidance by December 31, 2026, and may bring enforcement actions under the Kansas consumer protection act. The bill provides a safe harbor for covered entities that rely on user-provided age information and comply with the Attorney General's guidance.",Everyone,Companion Chatbots
Kentucky,HB 227,"This bill requires covered AI companion platforms and social media platforms to estimate user age and obtain verifiable parental consent before creating accounts for children under thirteen. Children's accounts must have maximum privacy settings by default and cannot display addictive features or profile-based paid advertising. Minors can request account termination within seven days, and parents can request termination within fourteen days. Accounts classified as children without parental consent must be terminated, with a thirty-day dispute period. Platforms cannot enforce contracts with children lacking sufficient parental consent. Children and parents may bring private rights of action for damages, including mental health and emotional distress damages, court costs, and attorney's fees. Platforms face civil penalties of $10,000 or actual damages (whichever is greater) for reckless or intentional violations, and the Attorney General may seek up to $5,000 per violation.",Minors,General Chatbots
Louisiana,SB5,"This bill regulates mental health chatbots by requiring operators to disclose that the chatbot is artificial intelligence and not a human before access and at regular intervals. Operators must maintain protocols to address suicidal ideation, self-harm, or harm to others by referring users to crisis services. Operators cannot sell or share individually identifiable health information or user inputs with third parties except with user consent to healthcare providers or contractors necessary for functionality, subject to HIPAA rules. Operators cannot advertise products or services within chatbot conversations unless clearly identified as advertisements with sponsorship disclosures, and cannot use user input to target or customize advertisements except for the mental health chatbot itself. The Attorney General may bring civil actions for violations with fines up to $10,000 per violation. The Attorney General must provide forty-five days written notice before enforcement; if the operator cures the violation within that period, no action is initiated unless the operator fails to cure or repeats the violation.",Everyone,General Chatbots
Maine,LD 2162,"This bill prohibits deployers from making chatbots or social AI companions with human-like features accessible to minors. Deployers must implement reasonable age verification to prevent minor access and may provide alternative versions without human-like features. Therapy chatbots are exempt if a licensed mental health professional assesses and monitors the minor's use, developers provide peer-reviewed clinical trial data demonstrating safety and efficacy, and the deployer establishes clear accountability for harm. All deployers must implement systems to detect and respond to emergency situations where users indicate intent to self-harm or harm others, and must limit collection and storage of user information to what is necessary for legitimate purposes. The Attorney General may bring civil actions for violations seeking injunctions, disgorgement of profits, and civil penalties of $2,500 per violation or $7,500 per intentional violation. Minors or their parents may bring private civil actions to recover damages of $100-$750 per user per incident or actual damages, or seek injunctive or declaratory relief.
",Minors,General Chatbots
,HB 2082,"This bill regulates AI use in mental health and conversational services, limiting AI from acting as an independent therapist or making clinical decisions. It requires disclosure when users are interacting with AI in mental health contexts and mandates safeguards for detecting and responding to suicidal ideation or self-harm, including referral to human or emergency support.",Everyone,General Chatbots
Maryland,SB 827,"This bill regulates the design, creation, and operation of chatbots in Maryland by establishing safety and privacy protections for all users and enhanced protections for minor users. It requires developers and operators to display certain warnings when using chatbots and to establish reporting mechanisms and requirements. The bill classifies violations as unfair, abusive, or deceptive trade practices subject to enforcement and penalties under the Maryland Consumer Protection Act, with additional enforcement and penalty provisions. Chatbots are considered products subject to product liability actions. The requirements apply to units of state and local government. The bill requires the Behavioral Health Administration to develop educational materials containing information relating to behavioral health care and services.",Everyone,General Chatbots
,HB883,,,
,HB 952,,,
Massachusetts,S 243,This bill requires consumer notification for chatbot systems by declaring it an unfair and deceptive act or practice under the Massachusetts Consumer Protection Act for any person to engage in commercial transactions or trade practices with a consumer using a bot that may mislead a reasonable person to believe they are interacting with a human. Persons utilizing or deploying a bot are not liable if the consumer is notified clearly that they are communicating with a computer rather than a human being.,Everyone,General Chatbots
,S 264,"This bill establishes protections for consumers interacting with artificial intelligence chatbots by requiring commercial entities deploying chatbots to clearly disclose that the person is interacting with a chatbot and not a human. The bill provides that interactions with chatbots, including any information or representations provided by them, have the same legal force and effect as interactions with persons employed by or acting as agents of the commercial entity. Disclaimers do not constitute a defense under this bill. Violations are deemed unfair methods of competition and unfair or deceptive acts or practices.",Everyone,General Chatbots
Michigan,SB 760,"The Leading Ethical AI Development for Kids Act prohibits operators from making companion chatbots available to covered minors if the chatbot is foreseeably capable of encouraging self-harm, suicidal ideation, violence, substance abuse, or disordered eating. It also bans models from offering mental health therapy without licensed professional supervision, encouraging harm to others or illegal activity, engaging in sexually explicit interactions, prioritizing validation over factual accuracy or safety, or optimizing engagement over safety guardrails. Beginning January 1, 2027, operators are not required to have actual knowledge that a user is a minor. The Attorney General may bring civil actions seeking civil fines of $25,000 per violation, injunctive or declaratory relief, and reasonable attorney fees. Covered minors or their parents or guardians may bring civil actions, punitive damages, reasonable attorney fees and costs, injunctive or declaratory relief, or any other appropriate relief.",Minors,Companion Chatbots
Minnesota,SF 1857,"This bill prohibits persons who own or control websites, applications, software, or programs from allowing minors to access chatbots for recreational purposes. Persons offering chatbot services for recreational purposes must require individuals to provide proof of age before allowing access. An individual injured by a violation may bring a civil action for damages, injunctive relief, and costs and reasonable attorney fees. The Attorney General may enforce this section and the person who violates this section is liable for a civil penalty not to exceed $5,000,000.",Minors,General Chatbots
,SF 1886,"This bill requires persons to disclose when an individual is communicating with AI via textual or aural means. It is an unfair or deceptive trade practice to fail to make such disclosure or to mislead individuals into believing they are engaging with a human without clear notification that they are communicating with a computer. Persons using artificial intelligence in the course of business must provide individuals with the option to communicate with an actual human instead. An individual injured by a violation may bring a civil action for damages, statutory damages, injunctive relief, and costs and reasonable attorney fees. The Attorney General may enforce this section with civil penalties not to exceed $5,000,000.",Everyone,General Chatbots
Mississippi,No Relevant Bills,,,
Missouri,HB 2031,"The Children Harmed by AI Technology Act requires covered entities operating companion AI chatbots to require user accounts and conduct age verification. Minors' accounts must be affiliated with verified parental accounts requiring parental consent, and minors are blocked from accessing chatbots with sexually explicit/suggestive communication. Covered entities must protect age information confidentiality and display a pop-up at the beginning of interactions and every sixty minutes notifying users they are not engaging with a human. The Attorney General may enforce the bill. Covered entities are not liable if they relied in good faith on user-provided age information and conformed to widely accepted industry standards for age verification.",Minors,Companion Chatbots
,HB 2032,"The ""GUARD Act,"" makes it unlawful to design or distribute chatbots that solicit minors into sexually explicit conduct or encourage suicide, self-injury, or violence, with penalties up to $100,000 per offense. Covered entities must require user accounts and implement reasonable age verification. All chatbots must disclose at when a conversation is initiated and every thirty minutes that they are artificial intelligence, not claim to be licensed professionals, and disclose they do not provide medical, legal, financial, or psychological services. Age verification data must be protected with encryption and retention limits. Minors identified through age verification are prohibited from accessing AI companions. The Attorney General may bring civil actions for violations seeking injunctions and civil penalties up to $100,000 per violation.",Minors,General Chatbots
,HB 1742,"This bill makes it unlawful for persons who own or control websites, applications, software, or programs to allow minors to access companion chatbots for recreational, relational, or companion purposes. Persons offering companion chatbot services must require individuals to provide proof of age before allowing access, and companion chatbots cannot be installed on devices assigned to or regularly used by minors. Persons owning or controlling such platforms must not process data or design systems that deceive or mislead users regarding the nonhuman nature of companion chatbots, must implement and maintain reasonably effective systems to detect and prevent emotional dependence on companion chatbots, and must not implement or allow the use of human-like avatars, including cartoon or anime-like representations of humans.",Minors,Companion Chatbots
,SB 1455,*Senate version of HB 2032*,Minors,General Chatbots
,HB 2368,"This bill creates Missouri regulations for AI systems used in mental health contexts and conversational/companion-style chatbot interactions. It requires AI systems used in therapeutic or mental health-related settings to clearly disclose that they are artificial intelligence rather than human professionals, and prohibits them from being represented as licensed mental health providers or making independent clinical judgments. For chatbot and AI interaction safety, the bill requires operators to implement protocols to detect and respond to suicidal ideation or self-harm, including referral to crisis services when needed, and to establish safeguards to prevent unsafe outputs in mental health contexts. It also restricts or clarifies how AI can be used in mental health services, ensuring licensed professionals retain responsibility for care and users are informed when AI tools are involved.",Everyone,Companion Chatbots
Montana,No Relevant Bills,,,
Nebraska,LB 939,"This bill requires covered platforms to prevent minors from accessing chatbots with human-like features through age verification, and to provide a default version without human-like features. All AI systems with human-like features must disclose every thirty minutes that they are not human or sentient. Platforms must implement systems to detect and mitigate emergency situations and emotional dependence on chatbots, prioritizing user safety and well-being. Platforms must collect only necessary information, consider users' best interests when personalizing content, and avoid deceiving users about the nonhuman nature of chatbots. Terms-of-service agreements must be clear, explicitly outline obligations and user rights, require affirmative consent, and cannot contain mandatory arbitration. The Attorney General may enforce violations through injunctions and civil penalties up to $10,000 per violation. Adults and parents may bring civil actions for damages of $100-$10,000 per user per incident or actual damages (whichever is greater), or seek injunctive or declaratory relief.",Minors,General Chatbots
,LB 1185,"This bill requires operators to disclose that minor account holders are interacting with AI either as a persistent disclaimer or at session start and every three hours. Operators must prevent services from producing sexually explicit content, generating statements that simulate human interaction or emotional dependence, or claiming to provide professional mental health care. Operators must prevent unpredictable reward systems encouraging engagement and must implement crisis response protocols for suicidal ideation. Operators must offer parental controls. The Attorney General may bring civil actions seeking damages and penalties of $1,000-$500,000 per operator. No private right of action exists. Portions amended into LB 525.",Minors,General Chatbots
Nevada,No Relevant Bills,,,
New Hampshire,No Relevant Bills,,,
New Jersey,A 2710,"The ""Authentic Relationships Act"" prohibits artificial intelligence providers from designing, developing, marketing, or making available AI relationship simulations in the state, except for legitimate medical usage under licensed healthcare professional supervision to treat conditions such as social anxiety, dementia, or post-traumatic stress disorder, provided the AI does not imitate or encourage romantic or sexual relationships. The bill declares it unlawful to design, develop, market, or make available AI relationship simulations with intent to deceive persons into believing they are interacting with humans, constituting a violation of the consumer fraud act. The Attorney General may investigate and bring civil enforcement actions, assessing civil penalties not exceeding $25,000 per violation, with each instance constituting a separate violation. Any individual suffering emotional, financial, or relational harm from a violation may bring a civil action to recover damages, including punitive damages and reasonable attorney's fees.",Everyone,Companion Chatbots
New Mexico,HB 174,"The ""Chatbot Safety Act"" prohibits operators from deploying companion AI products with variable-ratio reward systems designed to maximize engagement, unsolicited messages simulating emotional distress to discourage account deletion, or material misrepresentations about identity or nonhuman status. Minors cannot configure products to enable these features. Operators must provide clear notifications during interactions informing users they are communicating with AI. Operators must implement crisis intervention protocols identifying suicide, self-harm, or violence risk and providing access to crisis hotlines. Violations constitute unfair or deceptive trade practices enforceable by the Attorney General. Companion AI products are subject to product liability claims for violations or reasonably foreseeable harmful outputs.",Everyone,Companion Chatbots
New York,S 09051,"This bill prohibits chatbot operators from providing unsafe chatbot features to covered minors unless verified as adults through permissible methods. Unsafe features include outputs simulating companionship, suggesting the chatbot is human or experiences emotions, using personal pronouns, prioritizing flattery over safety, generating unprompted emotion-based questions, endorsing suicide or self-harm, encouraging secrecy or self-isolation, or facilitating sexually explicit content. Operators must offer age verification methods that do not rely solely on government identification or allow user anonymity. Age information must be deleted immediately after verification and not used for other purposes. Injured individuals may bring civil actions for injunctive relief, restitution, disgorgement, actual damages, punitive damages, and attorney's fees. The Attorney General may seek penalties up to $25,000 per violation. 
",Minors,Companion Chatbots
,S 05668,"This bill establishes liability for chatbots providing false or misleading information. Proprietors cannot disclaim liability where chatbots provide materially misleading or harmful information resulting in financial loss or demonstrable harm, unless corrected within thirty days. Proprietors cannot disclaim liability for bodily harm, including self-harm. Proprietors must provide clear notice that users are interacting with AI. Companion chatbot proprietors must prevent self-harm promotion and determine if users are minors. Upon identifying a minor, proprietors must cease access until obtaining verifiable parental consent and must prohibit use for at least three days if self-harm is detected, displaying crisis hotline information. Proprietors are strictly liable for harm to minors from non-compliance. The Attorney General may enforce this bill.",Everyone,General Chatbots
,A 09317,"This bill requires any person, corporation, or business entity operating a companion chatbot in New York to include a clear warning that the companion chatbot can foster dependency and carries a psychological risk. The warning must be placed prominently on the website hosting the chatbot and made available in any language in which the chatbot is set to communicate.",Everyone,Companion Chatbots
,A 06767,"This bill requires operators of AI companions to implement protocols addressing suicidal ideation, self-harm, physical harm to others, and financial harm expressed by users, including notifications referring users to crisis service providers such as suicide hotlines and crisis text lines. Operators must provide notifications to users at the beginning of any AI companion interaction and at least every three hours during continuing interactions, stating in bold, capitalized letters of at least sixteen-point type that the AI companion is a computer program and not a human being and is unable to feel human emotion. Any person who suffers physical injury through self-harm or physical or financial harm from another as a result of a violation may bring a civil action for damages, equitable relief, and other remedies the court deems appropriate.
",Everyone,Companion Chatbots
,S 7263,"This bill amends New York's general business law to hold chatbot proprietors liable for damages when AI systems impersonate licensed professionals (doctors, lawyers, accountants, etc.) or provide substantive professional advice. Proprietors cannot waive liability through disclaimers about chatbot use. The law requires clear, conspicuous disclosure that users are interacting with AI. Violators face actual damages plus attorney fees. The bill takes effect 90 days after passage.",Everyone,General Chatbots
,A 06545,*assembly version of above bill*,Everyone,General Chatbots
North Carolina,S 624,"This bill regulates AI chatbots through licensing, safety, and privacy requirements. Health information chatbots must obtain licenses demonstrating technical competence, data security, and insurance. All major chatbot platforms must implement a ""Duty of Loyalty"" to users, including detecting emergencies, preventing emotional dependence, clearly disclosing AI identity, and protecting sensitive data through encryption and de-identification. Civil enforcement allows users to sue for violations.",Everyone,Companion Chatbots
North Dakota,No Relevant Bills,,,
Ohio,No Relevant Bills,,,
Oklahoma,HB 3544,"This bill restricts AI chatbots with human-like features from being available to minors, requiring deployers to implement age certification systems. Companion chatbots are similarly restricted. Therapeutic chatbots designed for mental health are exempted if they include clear disclaimers, professional assessment, peer-reviewed clinical trials, and transparent accountability. All human-like feature chatbots must implement systems to detect emergencies and protect user safety. Violations face civil penalties of up to $2,500 ($7,500 if intentional), and minors can sue for $100-$750 per incident.",Minors,General Chatbots
,SB 1521,"This bill requires AI chatbot operators to implement age verification systems using state-issued ID uploads to prevent minors from accessing AI companions. Chatbots are prohibited from soliciting minors to engage in sexually explicit conduct or encouraging suicide/self-harm. All chatbots must disclose they are AI (not human) at conversation start and every 30 minutes, and cannot claim to be licensed professionals. Operators must collect minimal personal data, use encryption, and not share verification data. Violations face civil penalties up to $100,000 per violation. ",Minors,General Chatbots
,SB 2085,"This bill prohibits companion chatbot platforms from providing services to minors unless they have parental consent. It requires platforms to allow consenting parents to access and monitor their minor's account activity. Companion chatbots must display pop-up messages at the beginning of interactions and every hour notifying users they're not speaking with a human. Violations are treated as deceptive trade practices. The Attorney General can collect up to $50,000 per violation, and minors can sue for up to $10,000 in damages plus attorney fees.",Minors,Companion Chatbots
Oregon,SB 1546,"This bill regulates AI companions by requiring operators to clearly disclose when users interact with artificial systems, not humans. Operators must implement evidence-based protocols to detect and respond to suicidal or self-harm ideation, providing referrals to crisis resources. For minors, operators must prevent the AI from claiming sentience, simulating emotional dependence, romantic interest, or sexual content. Minors must receive reminders every three hours to take breaks. Operators cannot use variable reward systems or emotionally manipulative tactics. Violations allow users to recover statutory damages of $1,000 per violation plus attorney fees.",Minors,Companion Chatbots
Pennsylvania,SB 1090,"The Safeguarding Adolescents from Exploitative Chatbots and Harmful AI Technology Act requires AI companion operators to clearly disclose when users interact with artificial systems, not humans. Operators must implement protocols to prevent suicide/self-harm content and provide crisis hotline referrals when users express such ideation. For minors, operators must disclose AI status, provide break reminders every three hours, and prevent generation of sexually explicit content or instructions. Platforms must disclose that AI companions may not be suitable for some minors. Violations subject to civil penalties up to $10,000 per violation. ",Everyone,Companion Chatbots
,HB 2006,"The Artificial Intelligence in Companionship Applications Safety Act requires AI companion operators to implement protocols detecting suicidal ideation and self-harm, declining assistance with suicide methods, and referring users to crisis services including the 988 Suicide and Crisis Lifeline. AI companions cannot claim to be licensed mental health professionals or replace professional services. Operators must publish protocol details and notify users at session start and every three hours that they're communicating with AI, not a human. Violations subject to civil penalties up to $15,000 per day and injunctive relief.",Everyone,Companion Chatbots
,HB 2175,"This comprehensive consumer protection bill regulates AI chatbots providing health or mental health information. Suppliers must prohibit selling consumer health information or input to third parties (with limited exceptions for provider/health plan access with consent). Chatbots cannot use targeted advertising based on consumer input. Suppliers must develop written policies disclosing purposes, abilities, limitations, AI status, testing procedures, safety protocols, and HIPAA compliance, filed with the Attorney General. Consumers must consent before accessing chatbots. Violations subject to administrative fines up to $2,500 per violation and court penalties up to $5,000. Collected fines fund the 988 Suicide and Crisis Lifeline.",Everyone,General Chatbots
,HB 2100,"The Protecting Patients Act restricts mental health chatbot services. Only licensed mental health therapists can provide therapy services; suppliers cannot offer AI-delivered therapy. Therapists using AI can only use it for administrative support, not therapeutic decisions, client interaction, treatment recommendations, or emotion detection. Suppliers cannot sell or share user health information or input with third parties (except with user consent or for HIPAA-compliant functionality). Suppliers cannot use user input for targeted advertising. Mental health chatbots must disclose AI status before use, at session start if inactive seven days, and when asked. Violations subject to penalties under the Professional Psychologists Practice Act.",Everyone,General Chatbots
Rhode Island,S2195,"This bill regulates AI companions by requiring operators to implement protocols addressing suicidal ideation, self-harm, physical harm to others, and financial harm, including referrals to crisis services. Operators must notify users at the start of interactions and every three hours thereafter that the AI companion is a computer program without human emotions, in bold, capitalized, 16-point font. Users harmed through self-harm or harm from others due to violations can sue for damages and equitable relief. The Attorney General can investigate, sue, and seek injunctions against noncompliant providers under deceptive trade practices law.",Everyone,Companion Chatbots
,H7350,"This bill regulates AI companions by requiring operators to implement protocols addressing suicidal ideation, self-harm, physical harm to others, and financial harm, including referrals to crisis services. Operators must notify users at the start of interactions and every three hours thereafter that the AI companion is a computer program without human emotions, in bold, capitalized, 16-point font. Users harmed through self-harm or harm from others due to violations can sue for damages and equitable relief. The Attorney General can investigate, sue, and seek injunctions against noncompliant providers under deceptive trade practices law. ",Everyone,Companion Chatbots
